,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
335,kloulklubed,7.04,134.26,84.2,79.0,75.0,9.17,PW
336,dharchula,29.85,80.53,55.58,26.0,19.0,8.55,IN
337,ketchikan,55.34,-131.65,57.2,58.0,1.0,16.11,US
338,aurad,18.25,77.43,82.74,27.0,26.0,4.03,IN
339,salalah,17.02,54.09,82.4,69.0,40.0,4.7,OM
341,pusad,19.9,77.58,83.1,27.0,20.0,4.99,IN
342,jiuquan,39.74,98.52,51.35,24.0,76.0,4.41,CN
343,avera,33.19,-82.53,68.76,30.0,1.0,8.05,US
344,lazaro cardenas,17.96,-102.2,81.37,63.0,61.0,8.01,MX
345,rurrenabaque,-14.44,-67.53,68.83,71.0,0.0,1.01,BO
346,komsomolskiy,40.43,71.72,53.6,62.0,4.0,4.7,UZ
347,overpelt,51.21,5.41,50.74,93.0,44.0,5.82,BE
348,qasigiannguit,68.82,-51.19,23.0,85.0,95.0,8.05,GL
349,ilulissat,69.22,-51.1,23.0,85.0,100.0,8.05,GL
350,ancud,-41.87,-73.82,55.4,82.0,90.0,6.93,CL
351,norman wells,65.28,-126.83,39.2,86.0,90.0,14.99,CA
352,zhuhai,22.28,113.57,75.06,100.0,40.0,5.82,CN
353,viesite,56.35,25.56,32.5,90.0,68.0,8.68,LV
354,gemena,3.25,19.77,71.38,84.0,79.0,3.33,CD
355,savannah bight,16.45,-85.85,81.63,80.0,0.0,24.79,HN
356,tamandare,-8.76,-35.1,80.96,80.0,94.0,8.57,BR
357,meulaboh,4.14,96.13,78.66,83.0,68.0,5.06,ID
358,christchurch,-43.53,172.63,63.95,39.0,1.0,19.46,NZ
359,ukiah,39.15,-123.21,61.05,55.0,75.0,5.82,US
360,rocha,-34.48,-54.33,60.55,93.0,0.0,6.98,UY
361,cuamba,-14.8,36.54,65.57,80.0,4.0,4.92,MZ
362,kletskaya,49.31,43.06,40.53,63.0,49.0,2.98,RU
363,baghdad,33.34,44.4,60.8,63.0,1.0,3.36,IQ
364,piacabucu,-10.41,-36.43,79.25,84.0,99.0,7.7,BR
365,yei,4.09,30.68,69.35,64.0,100.0,5.91,SS
367,north bend,43.41,-124.22,53.85,76.0,90.0,8.05,US
368,araouane,18.9,-3.53,88.74,11.0,79.0,3.74,ML
369,alofi,-19.06,-169.92,84.2,74.0,51.0,17.22,NU
370,urubicha,-15.38,-62.95,69.49,57.0,1.0,2.91,BO
371,saint-augustin,51.23,-58.65,24.73,92.0,33.0,13.33,CA
373,sergeyevka,53.88,67.42,48.52,79.0,100.0,8.43,KZ
374,preobrazheniye,42.9,133.91,48.25,50.0,6.0,6.35,RU
375,sapa,5.15,120.32,84.06,75.0,91.0,10.94,PH
376,feijo,-8.16,-70.35,73.35,67.0,42.0,1.54,BR
377,kedrovyy,56.17,91.82,28.4,79.0,20.0,2.24,RU
379,morant bay,17.88,-76.41,82.33,74.0,20.0,17.22,JM
380,bubaque,11.28,-15.83,80.8,61.0,94.0,18.34,GW
381,ayorou,14.73,0.92,86.88,11.0,12.0,7.96,NE
382,inhambane,-23.86,35.38,74.21,78.0,35.0,13.18,MZ
383,kodiak,57.79,-152.41,46.4,75.0,20.0,13.87,US
384,sangar,63.92,127.47,12.13,77.0,2.0,0.98,RU
386,luanda,-8.84,13.23,77.0,94.0,40.0,3.36,AO
388,sayaxche,16.52,-90.17,91.31,37.0,39.0,3.74,GT
389,port hawkesbury,45.62,-61.35,34.32,74.0,1.0,6.93,CA
391,nata,8.33,-80.52,78.01,44.0,85.0,11.9,PA
392,sao joao da barra,-21.64,-41.05,71.83,82.0,100.0,7.25,BR
393,talaya,61.38,152.75,-0.54,81.0,100.0,13.91,RU
394,xining,36.62,101.77,45.3,26.0,100.0,2.59,CN
395,sinnamary,5.38,-52.95,80.01,84.0,67.0,10.65,GF
396,qiyang,26.59,111.85,61.39,87.0,100.0,6.69,CN
397,kolpashevo,58.31,82.91,38.14,79.0,84.0,9.62,RU
398,tete,-16.16,33.59,78.8,74.0,40.0,11.41,MZ
399,banjar,-8.19,114.97,80.6,94.0,20.0,2.24,ID
401,cloquet,46.72,-92.46,50.7,34.0,90.0,14.99,US
402,paamiut,61.99,-49.67,26.33,93.0,100.0,16.58,GL
403,viedma,-40.81,-63.0,77.49,31.0,99.0,19.71,AR
